Country,Country_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,91.599,91.316,91.024,90.724,90.414,90.096,89.767,89.43,89.082,88.725,88.357,87.979,87.59,87.191,86.781,86.359,85.926,85.483,85.027,84.55799999999999,84.005,83.438,82.85300000000001,82.253,81.635,81.003,80.35300000000001,79.686,79.002,78.912,78.82300000000001,78.73400000000001,78.645,78.556,78.46600000000001,78.376,78.286,78.195,78.105,78.014,77.922,77.831,77.739,77.64699999999999,77.5,77.297,77.093,76.887,76.68,76.47200000000001,76.263,76.05199999999999,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246
Angola,AGO,89.565,89.202,88.79599999999999,88.376,87.94200000000001,87.496,87.035,86.559,86.068,85.564,85.043,84.368,83.545,82.69,81.798,80.872,79.908,78.912,77.878,76.80799999999999,75.702,74.563,73.388,72.179,70.935,69.662,68.357,67.02199999999999,65.657,64.269,62.856,61.42,59.961,58.489,57.0,55.831,54.654,53.475,52.29,51.103,49.913,48.726,47.539,46.355,45.173,44.0,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486000000000004,33.82299999999999
Albania,ALB,69.295,69.057,68.985,68.914,68.842,68.77,68.69800000000001,68.626,68.554,68.452,68.26,68.06700000000001,67.87299999999999,67.679,67.48400000000001,67.288,67.092,66.895,66.69800000000001,66.5,66.238,65.976,65.713,65.44800000000001,65.18299999999999,64.917,64.65,64.381,64.112,63.842,63.572,63.3,62.751,62.201,61.646,61.089,60.527,59.965,59.399,58.831,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771
Andorra,AND,41.55,39.017,36.538,34.128,31.795,29.555,27.406999999999996,25.358999999999995,23.412000000000006,21.575999999999993,19.845,18.22,16.698999999999998,15.284000000000006,13.968000000000004,12.748000000000005,11.617999999999995,10.58,9.622,8.742999999999995,7.936000000000007,7.2,6.525999999999996,5.911000000000001,5.350999999999999,4.840999999999994,4.675,4.822000000000003,4.972999999999999,5.128,5.287999999999997,5.47,5.676000000000002,5.888999999999996,6.11,6.338999999999999,6.575,6.819999999999993,7.072999999999993,7.334000000000003,7.605,7.944000000000003,8.358999999999995,8.793000000000006,9.248999999999995,9.715,10.192999999999998,10.691999999999993,10.995999999999995,11.087999999999994,11.180999999999997,11.274000000000001,11.369,11.462999999999994,11.558999999999997,11.655,11.751999999999995,11.85,11.938000000000002,12.016000000000005
United Arab Emirates,ARE,26.5,25.617000000000004,24.751999999999995,23.906999999999996,23.081000000000003,22.277,21.492000000000004,20.727999999999994,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.096999999999994,19.894000000000005,19.691000000000003,19.49,19.29,19.316999999999993,19.534000000000006,19.753,19.974000000000004,20.195999999999998,20.376000000000005,20.518,20.661,20.804000000000002,20.948999999999998,21.093999999999994,21.24,21.385999999999996,21.533,21.680999999999997,21.507000000000005,21.061999999999998,20.622,20.19,19.763999999999996,19.345,18.933000000000007,18.528000000000006,18.129000000000005,17.738,17.352000000000004,16.977000000000004,16.613,16.257999999999996,15.912999999999997,15.576999999999998,15.251000000000005,14.933999999999997,14.625,14.325999999999993,14.035,13.751999999999995,13.477999999999994,13.210999999999999
Argentina,ARG,26.388999999999996,25.783,25.233000000000004,24.691000000000003,24.156000000000006,23.631,23.111999999999995,22.602000000000004,22.099000000000004,21.605999999999995,21.12,20.679000000000002,20.257000000000005,19.842,19.433000000000007,19.031000000000006,18.634,18.245,17.861000000000004,17.483999999999995,17.113,16.686999999999998,16.241,15.805999999999997,15.379000000000005,14.962000000000003,14.555,14.156999999999996,13.766999999999996,13.387,13.016000000000005,12.671999999999997,12.457999999999998,12.248000000000005,12.04,11.835999999999999,11.634,11.436000000000007,11.241,11.048000000000002,10.858000000000004,10.671000000000006,10.49,10.313999999999993,10.14,9.968999999999994,9.8,9.634,9.47,9.308999999999997,9.150999999999996,9.01,8.879000000000005,8.751000000000005,8.623000000000005,8.497,8.373000000000005,8.251000000000005,8.13,8.009
Armenia,ARM,48.725,47.853,46.981,46.111,45.242,44.378,43.517,42.659,41.805,40.958,40.136,39.343,38.555,37.775,37.0,36.389,35.781000000000006,35.179,34.581,34.161,33.95,33.741,33.533,33.325,33.117000000000004,32.91,32.70399999999999,32.498999999999995,32.294,32.31,32.57899999999999,32.85,33.122,33.394000000000005,33.668000000000006,33.943,34.218999999999994,34.495999999999995,34.774,35.053,35.334,35.615,35.763999999999996,35.863,35.962,36.062,36.161,36.261,36.36,36.46,36.56,36.66,36.76,36.836,36.888,36.915,36.918,36.897,36.851,36.781
Antigua and Barbuda,ATG,60.344,60.96,61.573,62.183,62.789,63.39,63.988,64.582,65.17099999999999,65.755,66.181,66.102,66.02199999999999,65.943,65.863,65.783,65.703,65.62299999999999,65.543,65.462,65.382,65.30199999999999,65.221,65.14,65.06,64.979,64.898,64.81700000000001,64.73599999999999,64.655,64.574,64.535,64.915,65.291,65.666,66.039,66.41,66.779,67.145,67.51,67.87299999999999,68.26,68.902,69.536,70.163,70.782,71.394,71.998,72.595,73.182,73.762,74.297,74.474,74.65,74.825,75.0,75.154,75.287,75.401,75.494
Australia,AUS,18.471000000000004,18.058999999999997,17.772000000000006,17.489000000000004,17.208,16.932000000000002,16.66,16.492999999999995,16.328000000000003,16.164,16.001000000000005,15.84,15.68,15.522000000000006,15.364000000000004,15.207999999999998,15.052999999999997,14.9,14.748000000000005,14.596999999999994,14.447999999999993,14.3,14.33,14.358999999999995,14.388999999999996,14.418000000000006,14.447999999999993,14.477999999999994,14.507000000000005,14.537000000000006,14.566999999999993,14.596999999999994,14.715,14.843000000000004,14.971999999999994,15.102000000000004,15.233000000000004,15.364000000000004,15.497,15.63,15.765,15.9,15.778000000000006,15.656999999999996,15.537000000000006,15.418000000000006,15.3,15.177999999999997,15.057000000000002,14.936999999999998,14.817999999999998,14.7,14.597999999999999,14.498000000000005,14.397999999999996,14.299000000000007,14.2,14.096000000000004,13.988,13.876000000000005
Austria,AUT,35.28,35.18600000000001,35.137,35.087,35.038,34.989000000000004,34.93899999999999,34.89,34.840999999999994,34.792,34.742000000000004,34.699,34.68899999999999,34.679,34.669,34.659000000000006,34.649,34.638999999999996,34.629000000000005,34.619,34.608999999999995,34.635999999999996,34.9,35.164,35.43,35.695,35.962999999999994,36.231,36.5,36.769,37.04,37.311,37.583,37.856,38.13,38.404,38.68,38.955,39.232,39.509,39.787,40.066,40.345,40.625,40.906,41.187,41.468,41.751,42.034,42.317,42.601,42.885,42.853,42.664,42.474,42.285,42.095,41.906,41.703,41.485
Azerbaijan,AZE,47.337,47.636,47.936,48.236,48.536,48.836,49.136,49.436,49.737,50.037,49.992,49.538,49.083,48.629,48.302,48.103,47.904,47.706,47.508,47.345,47.223,47.103,46.982,46.861,46.701,46.502,46.303,46.105,45.906,45.943,46.251,46.559,46.868,47.176,47.485,47.794,48.104,48.412,48.722,48.815,48.614,48.413,48.213,48.012,47.811,47.611,47.411,47.21,47.01,46.81,46.594,46.363,46.117,45.855,45.578,45.286,44.979,44.657,44.32,43.969
Burundi,BDI,97.923,97.885,97.846,97.807,97.767,97.706,97.605,97.499,97.389,97.274,97.155,97.03,96.899,96.764,96.623,96.475,96.322,96.162,95.995,95.822,95.661,95.497,95.326,95.15,94.967,94.779,94.583,94.38,94.17,93.953,93.729,93.545,93.363,93.17699999999999,92.986,92.789,92.588,92.382,92.17,91.964,91.754,91.539,91.318,91.092,90.861,90.625,90.383,90.136,89.882,89.624,89.358,89.085,88.806,88.518,88.224,87.922,87.612,87.294,86.968,86.634
Belgium,BEL,7.540000000000006,7.445999999999998,7.320999999999998,7.165000000000006,7.0120000000000005,6.8629999999999995,6.715999999999994,6.572000000000003,6.430999999999997,6.293000000000006,6.1569999999999965,6.024000000000001,5.8940000000000055,5.766999999999996,5.641999999999996,5.52,5.400000000000006,5.194000000000003,4.995,4.804000000000002,4.619,4.465,4.3629999999999995,4.263000000000005,4.165000000000006,4.069999999999993,3.977000000000004,3.885000000000005,3.7960000000000065,3.7079999999999984,3.6230000000000047,3.5390000000000015,3.4579999999999984,3.378,3.3,3.222999999999999,3.149000000000001,3.0759999999999934,3.004000000000005,2.935,2.870999999999995,2.813999999999993,2.7590000000000003,2.7039999999999935,2.6500000000000057,2.596999999999994,2.5460000000000065,2.495,2.444999999999993,2.3970000000000056,2.3490000000000038,2.3020000000000067,2.2560000000000002,2.2109999999999985,2.1670000000000016,2.1239999999999952,2.081000000000003,2.0390000000000015,1.9989999999999952,1.9590000000000032
Benin,BEN,90.725,90.144,89.53,88.882,88.199,87.481,86.725,85.931,85.097,84.224,83.309,82.35300000000001,81.352,80.311,79.225,78.096,76.92099999999999,75.707,74.44800000000001,73.324,72.661,71.99,71.30799999999999,70.616,69.914,69.20400000000001,68.483,67.75399999999999,67.015,66.27,65.515,64.753,64.173,63.864,63.553,63.242,62.929,62.615,62.301,61.985,61.667,61.35,60.964,60.464,59.961,59.457,58.951,58.442,57.931,57.42,56.907,56.392,55.875,55.358,54.834,54.305,53.771,53.232,52.688,52.139
Burkina Faso,BFA,95.3,95.204,95.107,95.007,94.905,94.80199999999999,94.697,94.589,94.48,94.368,94.254,94.139,94.02,93.9,93.778,93.653,93.332,92.849,92.332,91.782,91.195,90.572,89.909,89.20400000000001,88.456,87.666,87.168,86.928,86.684,86.437,86.185,85.93,85.67,85.407,85.14,84.869,84.593,84.125,83.49,82.834,82.156,81.46,80.742,80.004,79.243,78.463,77.661,77.004,76.46600000000001,75.92099999999999,75.367,74.804,74.233,73.654,73.066,72.47,71.866,71.257,70.642,70.02
Bangladesh,BGD,94.865,94.722,94.502,94.273,94.036,93.789,93.533,93.267,92.991,92.704,92.407,92.099,91.779,91.447,90.966,90.164,89.299,88.37,87.371,86.299,85.149,84.199,83.788,83.369,82.94,82.504,82.059,81.605,81.14099999999999,80.67,80.189,79.743,79.39,79.03399999999999,78.672,78.307,77.936,77.562,77.182,76.798,76.41,75.904,75.244,74.571,73.886,73.191,72.483,71.763,71.032,70.291,69.538,68.775,68.007,67.238,66.465,65.69200000000001,64.917,64.142,63.368,62.595
Bulgaria,BGR,62.9,61.218,59.506,57.77,56.013,54.245,52.767,51.501,50.232,48.966,47.7,46.64,45.581,44.529,43.481,42.438,41.474,40.572,39.674,38.784,37.9,37.397,36.896,36.397,35.900999999999996,35.41,35.001000000000005,34.653999999999996,34.30800000000001,33.965,33.623000000000005,33.283,32.944,32.67,32.443,32.218,31.992999999999995,31.769000000000005,31.546000000000006,31.322999999999993,31.101,30.834000000000003,30.476,30.120999999999995,29.766999999999996,29.415999999999997,29.067999999999998,28.721999999999994,28.378,28.037000000000006,27.697999999999993,27.361999999999995,27.025,26.686999999999998,26.349000000000004,26.01,25.671000000000006,25.331000000000003,24.992000000000004,24.653000000000006
Bahrain,BHR,17.68,17.662999999999997,17.645,17.628,17.611000000000004,17.5,17.239000000000004,16.980999999999995,16.725,16.474000000000004,16.225,15.979,15.735,15.495999999999995,15.259,15.025,14.793999999999997,14.566000000000003,14.340999999999994,14.117999999999995,13.899000000000001,13.683000000000007,13.468999999999994,13.257999999999996,13.05,12.845,12.643,12.442999999999998,12.245999999999995,12.051000000000002,11.86,11.671000000000006,11.602000000000004,11.605,11.608000000000004,11.611999999999995,11.615,11.617999999999995,11.620999999999995,11.623999999999995,11.628,11.631,11.626999999999995,11.617000000000004,11.600999999999999,11.578000000000003,11.548000000000002,11.512,11.47,11.421000000000006,11.366,11.305,11.238,11.165,11.085,11.001000000000005,10.91,10.813999999999993,10.712999999999994,10.605999999999995
"Bahamas, The",BHS,40.288,39.546,38.807,38.074,37.358,36.657,35.96,35.27,34.584,33.907,33.236000000000004,32.571,31.912000000000006,31.262,30.619,29.983000000000004,29.352999999999994,28.733999999999995,28.120999999999995,27.516000000000005,26.897999999999996,26.156999999999996,25.429000000000002,24.715,24.013000000000005,23.325999999999993,22.653000000000006,21.992999999999995,21.346000000000004,20.715999999999994,20.162000000000006,19.933000000000007,19.706999999999994,19.482,19.26,19.039,18.82,18.604,18.388999999999996,18.176000000000002,17.992999999999995,17.950999999999993,17.908,17.866,17.823999999999998,17.781999999999996,17.74,17.697999999999993,17.656999999999996,17.615,17.572999999999993,17.524,17.468000000000004,17.403999999999996,17.331999999999994,17.254000000000005,17.168000000000006,17.075,16.975,16.867999999999995
Bosnia and Herzegovina,BIH,80.96,80.314,79.563,78.791,77.996,77.18299999999999,76.348,75.491,74.613,73.717,72.799,71.906,71.125,70.334,69.529,68.712,67.882,67.043,66.19200000000001,65.33,64.457,63.718,63.393,63.067,62.739,62.411,62.081,61.75,61.417,61.085,60.751,60.422,60.113,59.804,59.494,59.183,58.87,58.558,58.245,57.931,57.616,57.302,56.986,56.67,56.352,56.035,55.718,55.399,55.08,54.761,54.442,54.122,53.801,53.481,53.16,52.827,52.482,52.124,51.755,51.374
Belarus,BLR,67.59899999999999,66.47800000000001,65.337,64.178,63.0,61.873,60.731,59.578,58.412,57.24,55.99,54.651,53.303,51.954,50.6,49.386,48.171,46.961,45.753,44.598,43.502,42.416,41.336,40.264,39.2,38.167,37.143,36.13,35.128,34.415,34.019000000000005,33.626000000000005,33.233999999999995,32.845,32.459,32.074,31.691999999999993,31.313000000000002,30.936000000000007,30.518,30.027,29.542,29.061000000000007,28.585,28.113,27.646,27.183999999999997,26.727000000000004,26.274,25.828000000000003,25.328000000000003,24.811999999999998,24.302999999999997,23.801000000000002,23.307000000000002,22.819000000000003,22.339,21.866,21.405,20.956000000000003
Belize,BLZ,45.972,46.28,46.59,46.899,47.21,47.519,47.83,48.14,48.451,48.762,49.037,49.195,49.354,49.512,49.671,49.829,49.988,50.146,50.305,50.463,50.626,50.817,51.008,51.199,51.39,51.581,51.772,51.963,52.154,52.345,52.535,52.729,52.941,53.152,53.363,53.575,53.786,53.997,54.207,54.418,54.602,54.619,54.636,54.653,54.67,54.687,54.704,54.721,54.738,54.755,54.772,54.772,54.754,54.718,54.665,54.594,54.505,54.399,54.276,54.134
Bolivia,BOL,63.238,62.941,62.643,62.344,62.043,61.743,61.441,61.138,60.834,60.53,60.224,59.918,59.611,59.304,58.996,58.686,58.376,57.554,56.558,55.557,54.549,53.541,52.528,51.514,50.496,49.481,48.465,47.451,46.437,45.429,44.423,43.421,42.459,41.921,41.385,40.85,40.318,39.788,39.261,38.736,38.213,37.694,37.217,36.752,36.289,35.83,35.372,34.918000000000006,34.465,34.016000000000005,33.57,33.126000000000005,32.685,32.301,31.953000000000003,31.607,31.262,30.92,30.575,30.227000000000004
Brazil,BRA,53.861,52.878,51.901,50.922,49.941,48.963,47.984,47.007,46.03,45.06,44.091,43.106,42.121,41.145,40.174,39.211,38.255,37.311,36.375,35.449,34.532,33.63,32.738,31.858000000000004,30.99,30.138000000000005,29.296999999999997,28.471000000000004,27.658,26.861000000000004,26.078000000000003,25.31,24.555999999999997,23.819000000000003,23.096999999999994,22.39,21.697999999999993,20.951999999999998,20.218999999999994,19.504000000000005,18.808000000000007,18.447000000000003,18.12,17.796999999999997,17.479,17.165999999999997,16.857,16.552000000000007,16.251000000000005,15.956000000000003,15.665,15.369,15.076999999999998,14.790999999999997,14.507999999999996,14.23,13.957999999999998,13.691000000000003,13.430999999999997,13.176000000000002
Barbados,BRB,63.223,63.151,63.078,63.005,62.932,62.859,62.786,62.713,62.64,62.567,62.45,62.191,61.93,61.669,61.408,61.145,60.882,60.619,60.354,60.09,59.898,60.172,60.446,60.72,60.993,61.264,61.536,61.806,62.077,62.346,62.63,62.994,63.357,63.717,64.076,64.434,64.79,65.144,65.497,65.848,66.173,66.37100000000001,66.569,66.76599999999999,66.963,67.15899999999999,67.354,67.549,67.744,67.937,68.13,68.3,68.447,68.571,68.672,68.751,68.807,68.84100000000001,68.85300000000001,68.842
Brunei Darussalam,BRN,56.599,54.772,52.93,51.08,49.224,47.375,45.531,43.7,41.882,40.092,38.325,36.588,36.264,36.111,35.959,35.807,35.655,35.504000000000005,35.352999999999994,35.202,35.051,34.900999999999996,34.751000000000005,34.601,34.452,34.303,34.153999999999996,34.006,33.857,33.71,33.562,33.415,32.922,32.396,31.873999999999995,31.355999999999995,30.842,30.334000000000003,29.83,29.331000000000003,28.836,28.348,27.953999999999994,27.578999999999994,27.206000000000003,26.837000000000003,26.471000000000004,26.108000000000004,25.748000000000005,25.391999999999996,25.039,24.69,24.343999999999994,24.003,23.668000000000006,23.337000000000003,23.01,22.688000000000002,22.370999999999995,22.058000000000007
Bhutan,BTN,96.404,96.208,96.001,95.783,95.554,95.313,95.06,94.793,94.513,94.219,93.911,93.587,93.246,92.89,92.516,92.124,91.712,91.283,90.832,90.361,89.868,89.354,88.816,88.255,87.668,87.059,86.423,85.76,85.071,84.355,83.612,82.839,82.038,81.209,80.351,79.463,78.544,77.599,76.623,75.617,74.582,73.52,72.43,71.312,70.165,69.035,68.288,67.531,66.76400000000001,65.99,65.207,64.415,63.629,62.851,62.082,61.322,60.572,59.833,59.105,58.388
Botswana,BWA,96.94,96.903,96.866,96.829,96.682,96.161,95.563,94.876,94.088,93.19,92.166,91.002,90.305,89.619,88.89,88.116,87.295,86.428,85.511,84.543,83.521,82.44800000000001,80.511,78.277,75.861,73.276,70.517,67.59899999999999,64.533,61.352,58.067,54.708,53.557,52.714,51.867,51.019,50.17,49.323,48.475,47.628,46.781,45.938,45.43,44.971,44.512,44.056,43.6,42.072,40.556,39.063,37.588,36.135,35.232,34.428,33.632000000000005,32.845,32.06699999999999,31.3,30.554000000000002,29.828000000000003
Central African Republic,CAF,79.9,79.249,78.582,77.9,77.197,76.481,75.748,75.0,74.185,73.355,72.508,71.644,70.762,69.867,68.955,68.029,67.425,67.10300000000001,66.779,66.45400000000001,66.126,65.798,65.468,65.136,64.80199999999999,64.468,64.132,63.794,63.455,63.256,63.175,63.094,63.013,62.932,62.851,62.769,62.688,62.606,62.525,62.443,62.361,62.28,62.198,62.116,62.034,61.931,61.807,61.661,61.494,61.306,61.096,60.865,60.612,60.337,60.041,59.723,59.382,59.02,58.636,58.23
Canada,CAN,30.938999999999993,30.331999999999994,29.506,28.692999999999998,27.893,27.108000000000004,26.358000000000004,25.845,25.337999999999994,24.839,24.346000000000004,23.91,24.028999999999996,24.149,24.269000000000005,24.388999999999996,24.497,24.456999999999994,24.417,24.376999999999995,24.337000000000003,24.287999999999997,24.126000000000005,23.965,23.805,23.646,23.498000000000005,23.477999999999994,23.458,23.438000000000002,23.418000000000006,23.38,23.113,22.848,22.586,22.325,22.049000000000007,21.66,21.275999999999996,20.897000000000006,20.522000000000006,20.19,20.111999999999995,20.033,19.955,19.878,19.787000000000006,19.604,19.421999999999997,19.242000000000004,19.063000000000002,18.903999999999996,18.863,18.822000000000003,18.781999999999996,18.741,18.7,18.65,18.589,18.518
Switzerland,CHE,29.075999999999993,28.757000000000005,28.461,28.165999999999997,27.873000000000005,27.583,27.293999999999997,27.007000000000005,26.721000000000004,26.438999999999993,26.156999999999996,26.007999999999996,25.953999999999994,25.9,25.846000000000004,25.792,25.738,25.683999999999997,25.63,25.575999999999993,25.522999999999996,25.534000000000006,25.593999999999994,25.653999999999996,25.714,25.772999999999996,25.833,25.893,25.953999999999994,26.013999999999996,26.073999999999998,26.131,26.185,26.238,26.292,26.346000000000004,26.4,26.453999999999994,26.507999999999996,26.561999999999998,26.617000000000004,26.625,26.599000000000004,26.572999999999993,26.548000000000002,26.522000000000006,26.495999999999995,26.47,26.444000000000003,26.418999999999997,26.393,26.369,26.346999999999994,26.325999999999993,26.304000000000002,26.281999999999996,26.260999999999996,26.239000000000004,26.203000000000003,26.150999999999996
Chile,CHL,32.164,31.34,30.565,29.8,29.045,28.304000000000002,27.572999999999993,26.854,26.146,25.453000000000003,24.772999999999996,24.117000000000004,23.471999999999994,22.840999999999994,22.221999999999994,21.614000000000004,21.018,20.435,19.864000000000004,19.305,18.757000000000005,18.221999999999994,17.774,17.641000000000005,17.507999999999996,17.376000000000005,17.245,17.115,16.986000000000004,16.857,16.729,16.602000000000004,16.436000000000007,16.104,15.777000000000001,15.455,15.138999999999996,14.828000000000003,14.522999999999996,14.221999999999994,13.927000000000007,13.637,13.394000000000005,13.335,13.275,13.216999999999999,13.158000000000001,13.1,13.040999999999997,12.983000000000004,12.926000000000002,12.867999999999995,12.811000000000007,12.754000000000005,12.697000000000003,12.64,12.578000000000003,12.51,12.436000000000007,12.357
China,CHN,83.797,83.292,82.774,82.243,81.701,81.914,82.085,82.215,82.344,82.47200000000001,82.6,82.708,82.816,82.816,82.708,82.6,82.54,82.48,82.1,81.383,80.642,79.882,79.098,78.455,77.797,77.126,76.441,75.741,75.026,74.299,73.55799999999999,72.688,71.8,70.89699999999999,69.976,69.039,68.084,67.11699999999999,66.13300000000001,65.135,64.12299999999999,62.907,61.575,60.224,58.856,57.478,56.132,54.801,53.461,52.12,50.774,49.489,48.235,46.987,45.741,44.5,43.264,42.04,40.848,39.692
Cote d'Ivoire,CIV,82.321,81.089,79.79,78.425,76.993,75.5,74.794,74.074,73.34100000000001,72.596,71.837,71.066,70.281,69.487,68.679,67.771,66.406,65.017,63.6,63.386,63.171,62.956,62.74,62.524,62.307,62.09,61.873,61.654,61.392,61.024,60.655,60.284,59.912,59.539,59.165,58.79,58.413,58.036,57.658,57.259,56.845,56.432,56.017,55.601,55.183,54.766,54.348,53.929,53.509,53.09,52.67,52.249,51.828,51.407,50.986,50.556,50.119,49.674,49.221,48.761
Cameroon,CMR,86.063,85.512,84.94200000000001,84.353,83.745,83.12,82.475,81.81,81.125,80.423,79.7,78.416,77.07300000000001,75.676,74.22,72.708,71.322,70.531,69.726,68.90899999999999,68.07900000000001,67.239,66.387,65.524,64.65,63.768,62.876,62.059,61.489,60.918,60.343,59.765,59.183,58.601,58.015,57.427,56.836,56.245,55.652,55.056,54.458,53.861,53.262,52.662,52.06,51.459,50.857,50.254,49.65,49.046,48.441,47.836,47.231,46.627,46.024,45.422,44.821,44.223,43.626,43.032
"Congo, Dem. Rep.",COD,77.7,77.477,77.251,77.024,76.79599999999999,76.566,76.334,76.101,75.866,75.63,75.392,75.15299999999999,74.911,74.669,74.425,74.179,73.932,73.68299999999999,73.43299999999999,73.181,72.928,72.673,72.417,72.16,71.9,71.487,71.07,70.65,70.225,69.798,69.367,68.93299999999999,68.494,68.054,67.61,67.162,66.711,66.25800000000001,65.801,65.34100000000001,64.878,64.413,63.945,63.474,63.0,62.519,62.029,61.53,61.024,60.509,59.987,59.456,58.918,58.373,57.82,57.26,56.693,56.12,55.54,54.954
"Congo, Rep.",COG,68.399,67.682,66.955,66.22,65.476,64.727,63.969,63.204,62.431,61.655,60.871,60.081,59.285,58.486,57.643,56.736,55.823,54.909,53.99,53.068,52.143,51.219,50.293,49.367,48.44,47.779,47.358,46.936,46.515,46.095,45.676,45.257,44.838,44.42,44.004,43.587,43.168,42.701,42.234,41.769,41.305,40.844,40.383,39.924,39.467,39.012,38.559,38.107,37.654,37.2,36.744,36.288,35.831,35.373000000000005,34.915,34.456999999999994,33.998999999999995,33.541,33.084,32.626999999999995
Colombia,COL,53.732,52.298,50.857,49.416,47.973,47.18,46.413,45.648,44.883,44.123,43.365,42.61,41.857,41.11,40.393,39.694,38.997,38.307,37.621,36.939,36.262,35.592,34.92700000000001,34.266999999999996,33.613,32.965999999999994,32.434,31.948999999999998,31.468000000000004,30.992000000000004,30.519000000000005,30.051000000000002,29.585,29.126000000000005,28.671999999999997,28.223,27.777,27.337999999999994,26.902,26.47,26.043000000000006,25.620999999999995,25.203000000000003,24.789,24.38,23.976,23.576999999999998,23.183999999999997,22.796000000000006,22.412999999999997,22.036,21.665,21.299000000000007,20.938999999999993,20.585,20.236000000000004,19.891999999999996,19.554000000000002,19.221999999999994,18.896
Comoros,COM,87.449,86.652,85.811,84.926,83.996,83.02199999999999,82.0,81.66,81.315,80.965,80.61,80.25,79.885,79.51599999999999,79.14099999999999,78.761,78.375,77.986,77.59,77.19,76.785,76.351,75.905,75.452,74.994,74.531,74.062,73.587,73.107,72.622,72.131,71.634,71.565,71.61,71.654,71.699,71.743,71.787,71.832,71.876,71.92,71.964,72.008,72.053,72.09700000000001,72.125,72.137,72.133,72.114,72.07900000000001,72.027,71.96,71.877,71.777,71.662,71.53,71.381,71.21600000000001,71.035,70.836
Cabo Verde,CPV,83.321,83.05199999999999,82.776,82.497,82.213,81.92699999999999,81.637,81.343,81.04599999999999,80.745,80.441,80.1,79.72800000000001,79.351,78.969,78.581,78.188,77.791,77.388,76.98,76.482,75.005,73.465,71.867,70.208,68.5,66.115,63.645,61.098,58.496,55.88,54.956,54.027,53.098,52.166,51.232,50.296,49.363,48.428,47.495,46.565,45.709,44.854,44.003,43.154,42.311,41.471,40.637,39.806,38.984,38.179,37.678,37.179,36.683,36.19,35.7,35.215999999999994,34.739000000000004,34.268,33.805
