project,group
Ka-Sat,satellite connection
GSAT-17,satellite connection
Starlink,satellite connection
Amos-6,satellite connection
OneWeb,satellite connection
Inmarsat-5 F4,satellite connection
GSAT-19,research satellite
SwissCube,research satellite
Jason-3,research satellite
InSight,hardware research
GGS WIND,hardware research
Dragonfly ,hardware research
Plank,hardware research
United Launch Alliance,company
Everts Air,company
Virgin Galactic,company
United Airlines,company
Qatar Airways,company
Lufthansa,company
ASM-135 ASAT,military missile
Appolo,space program
Arthemida,space program
ISS,space program
Mitsubishi A6M Zero,military plane
Vega,space transport
Discovery,space transport
